heuristic,map_id,start_pos,end_pos,path_length,total_cost,execution_time,path_found,nodes_explored,heuristic_calls
Euclidea,703368,"(154, 225)","(270, 280)",130,159.17046407196835,0.22017288208007812,True,8562,9230
Manhattan,703368,"(154, 225)","(270, 280)",130,159.17046407196835,2.012768030166626,True,86040,88265
Chebyshev,703368,"(154, 225)","(270, 280)",130,159.17046407196835,0.25821924209594727,True,11454,12304
Euclidea,703368,"(247, 182)","(257, 176)",11,25.18465609815286,0.0009987354278564453,True,44,94
Manhattan,703368,"(247, 182)","(257, 176)",11,25.18465609815286,0.0,True,18,54
Chebyshev,703368,"(247, 182)","(257, 176)",11,25.18465609815286,0.002314329147338867,True,60,108
Euclidea,703368,"(119, 154)","(70, 103)",95,99.30773060828837,0.05195188522338867,True,2030,2341
Manhattan,703368,"(119, 154)","(70, 103)",95,100.2456960777207,0.07159042358398438,True,3117,5391
Chebyshev,703368,"(119, 154)","(70, 103)",95,99.30773060828837,0.05749797821044922,True,2535,2949
Euclidea,703368,"(66, 274)","(54, 150)",125,128.9705627484771,0.033347129821777344,True,1201,1580
Manhattan,703368,"(66, 274)","(54, 150)",125,128.97056274847716,0.003034830093383789,True,125,402
Chebyshev,703368,"(66, 274)","(54, 150)",125,128.9705627484771,0.050002336502075195,True,2085,3367
Euclidea,703368,"(153, 140)","(168, 112)",29,34.21320343559643,0.00800323486328125,True,323,508
Manhattan,703368,"(153, 140)","(168, 112)",29,34.213203435596434,0.0009963512420654297,True,29,120
Chebyshev,703368,"(153, 140)","(168, 112)",29,34.21320343559643,0.01999974250793457,True,872,1127
Euclidea,703368,"(68, 273)","(137, 239)",70,83.08326112068514,0.03799748420715332,True,1510,1938
Manhattan,703368,"(68, 273)","(137, 239)",70,86.09206372863136,0.015003204345703125,True,592,1306
Chebyshev,703368,"(68, 273)","(137, 239)",70,83.08326112068514,0.0579986572265625,True,2496,2908
Euclidea,703368,"(247, 367)","(199, 252)",116,134.88225099390843,0.1438608169555664,True,5674,6290
Manhattan,703368,"(247, 367)","(199, 252)",116,134.8822509939085,0.002999544143676758,True,116,447
Chebyshev,703368,"(247, 367)","(199, 252)",116,134.88225099390843,0.33333683013916016,True,14602,15639
Euclidea,703368,"(239, 221)","(267, 286)",114,141.97465101808103,0.16059470176696777,True,6567,7028
Manhattan,703368,"(239, 221)","(267, 286)",112,143.1748601681976,0.1269214153289795,True,5656,6097
Chebyshev,703368,"(239, 221)","(267, 286)",114,141.97465101808103,0.1456460952758789,True,6490,6917
Euclidea,703368,"(120, 264)","(257, 318)",138,159.36753236814698,0.19809961318969727,True,7824,8587
Manhattan,703368,"(120, 264)","(257, 318)",138,159.36753236814707,0.003999471664428711,True,138,525
Chebyshev,703368,"(120, 264)","(257, 318)",138,159.36753236814698,0.24505186080932617,True,10736,11565
Euclidea,703368,"(254, 368)","(177, 166)",203,233.89444430272812,0.29127025604248047,True,11700,12769
Manhattan,703368,"(254, 368)","(177, 166)",203,233.89444430272817,0.005006313323974609,True,203,766
Chebyshev,703368,"(254, 368)","(177, 166)",203,233.89444430272812,0.6139936447143555,True,26771,28058
Euclidea,703368,"(161, 303)","(267, 274)",107,119.56774886437525,0.10700058937072754,True,4255,4730
Manhattan,703368,"(161, 303)","(267, 274)",107,119.56774886437532,0.010999202728271484,True,466,880
Chebyshev,703368,"(161, 303)","(267, 274)",107,119.56774886437525,0.1340022087097168,True,5862,6457
Euclidea,703326,"(56, 153)","(96, 93)",85,280.4186342886577,0.08274459838867188,True,3551,3661
Manhattan,703326,"(56, 153)","(96, 93)",85,280.41863428865764,0.12020730972290039,True,5611,5745
Chebyshev,703326,"(56, 153)","(96, 93)",85,280.4186342886577,0.0727384090423584,True,3621,3725
Euclidea,703326,"(23, 235)","(140, 86)",239,905.7201282841487,0.18482518196105957,True,8426,8548
Manhattan,703326,"(23, 235)","(140, 86)",239,905.7201282841488,0.22219109535217285,True,10847,10964
Chebyshev,703326,"(23, 235)","(140, 86)",239,905.7201282841487,0.170090913772583,True,8402,8527
Euclidea,703326,"(92, 92)","(42, 103)",51,158.42699528059254,0.035997867584228516,True,1527,1638
Manhattan,703326,"(92, 92)","(42, 103)",51,158.42699528059254,0.031200408935546875,True,1437,1576
Chebyshev,703326,"(92, 92)","(42, 103)",51,158.42699528059254,0.03300189971923828,True,1587,1691
Euclidea,703326,"(48, 232)","(83, 145)",110,475.9507498337949,0.07521915435791016,True,3239,3321
Manhattan,703326,"(48, 232)","(83, 145)",110,475.9507498337949,0.0717630386352539,True,3332,3415
Chebyshev,703326,"(48, 232)","(83, 145)",110,475.9507498337949,0.0659177303314209,True,3220,3301
Euclidea,703326,"(104, 99)","(23, 143)",130,462.99124257564586,0.17331600189208984,True,7617,7787
Manhattan,703326,"(104, 99)","(23, 143)",130,462.99124257564586,0.1542518138885498,True,7582,7718
Chebyshev,703326,"(104, 99)","(23, 143)",130,462.99124257564586,0.15751218795776367,True,7792,7960
Euclidea,703326,"(128, 91)","(48, 226)",193,739.9513974767683,0.23243427276611328,True,10673,10739
Manhattan,703326,"(128, 91)","(48, 226)",193,739.9513974767683,0.22577738761901855,True,11142,11230
Chebyshev,703326,"(128, 91)","(48, 226)",193,739.9513974767683,0.21248745918273926,True,10524,10583
Euclidea,703326,"(55, 123)","(33, 181)",90,408.18364490373415,0.10277009010314941,True,4532,4647
Manhattan,703326,"(55, 123)","(33, 181)",90,408.18364490373415,0.09310436248779297,True,4518,4668
Chebyshev,703326,"(55, 123)","(33, 181)",90,408.18364490373415,0.09181857109069824,True,4560,4668
Euclidea,703326,"(81, 94)","(135, 97)",55,165.85547548137444,0.03300356864929199,True,1371,1484
Manhattan,703326,"(81, 94)","(135, 97)",55,165.85547548137444,0.02899909019470215,True,1293,1401
Chebyshev,703326,"(81, 94)","(135, 97)",55,165.85547548137444,0.03000330924987793,True,1426,1553
Euclidea,703326,"(63, 202)","(53, 148)",62,269.1306135159043,0.05903768539428711,True,2657,2725
Manhattan,703326,"(63, 202)","(53, 148)",62,269.1306135159043,0.05330491065979004,True,2626,2738
Chebyshev,703326,"(63, 202)","(53, 148)",62,269.1306135159043,0.05427837371826172,True,2684,2740
Euclidea,703326,"(78, 181)","(44, 201)",0,inf,0.001999378204345703,False,60,60
